район,площадь m^2,кол-во комнат,удаленность от центра (км),этаж,цена
5,123.0,5,24.22,12,15320000
1,77.9,3,11.96,6,15780000
6,152.8,6,2.85,14,28120000
3,123.7,5,9.8,18,23520000
4,133.1,6,13.44,20,23420000
10,108.7,5,23.61,9,8130000
9,110.6,5,22.47,7,9120000
4,53.8,1,23.23,4,6320000
7,130.3,6,24.48,7,14030000
2,82.0,3,17.52,6,13320000
2,80.2,3,16.34,17,13180000
2,55.2,2,11.07,13,9900000
9,43.4,1,17.28,2,3350000
9,87.1,4,17.78,24,6720000
8,77.2,2,22.94,17,6570000
10,50.2,3,0.6,9,5640000
1,156.8,6,18.09,19,29810000
7,38.1,1,13.66,1,3610000
8,97.9,4,8.02,18,12760000
8,34.8,1,19.0,3,2790000
2,121.3,5,19.58,25,18210000
5,85.2,3,9.74,6,13670000
4,67.1,4,15.26,10,10640000
7,90.7,4,24.58,24,8580000
8,96.6,4,12.41,22,10870000
5,99.4,4,23.78,3,11140000
8,122.3,5,17.46,18,12080000
9,65.7,3,7.25,4,7040000
6,93.6,4,9.05,13,15100000
10,93.4,3,17.23,25,6770000
2,51.0,1,11.09,8,9180000
4,33.8,1,23.04,23,3500000
6,74.4,3,13.05,5,9750000
3,108.9,5,21.6,8,16770000
4,130.3,6,16.83,14,21530000
10,108.4,6,19.4,2,7910000
4,92.8,4,18.07,22,13010000
10,121.4,6,9.41,23,11170000
4,31.1,1,23.47,16,3490000
3,65.4,2,10.85,25,10760000
7,127.2,6,0.71,10,24180000
4,32.7,2,22.85,12,4090000
10,150.2,6,19.02,20,12290000
1,60.6,2,10.27,9,12280000
7,60.8,2,12.16,1,6300000
8,92.9,5,23.2,9,9050000
2,67.9,1,17.51,12,10660000
10,89.1,4,19.78,24,6070000
8,70.8,2,16.63,20,6410000
1,88.5,4,19.04,24,13630000
6,146.7,6,19.72,4,16260000
7,87.8,4,18.91,14,9130000
5,104.4,4,13.05,10,16350000
9,58.7,1,11.16,19,5340000
7,131.1,6,23.0,11,14480000
3,126.1,6,1.37,11,33350000
2,70.5,2,15.85,6,11420000
10,105.0,5,18.22,14,8720000
2,67.5,2,6.45,4,12930000
1,133.5,6,3.7,11,38430000
1,94.9,4,1.81,10,26120000
6,131.5,5,3.25,4,23580000
9,108.1,5,9.35,25,11520000
6,49.7,2,5.16,1,6810000
10,82.1,4,18.34,9,6400000
7,104.4,5,5.45,4,15660000
8,66.1,2,20.29,5,5140000
1,108.2,5,22.4,1,16210000
7,140.9,6,20.41,8,15310000
3,41.8,1,21.45,16,5470000
3,91.4,4,11.06,22,16700000
1,37.9,3,17.92,3,6040000
3,124.1,5,19.2,13,19320000
8,64.8,2,16.28,7,6440000
6,142.1,6,11.15,23,19690000
1,35.3,1,1.33,22,7920000
6,95.0,4,6.83,19,14880000
1,40.8,2,1.65,11,9760000
8,53.8,2,13.4,15,5520000
1,26.8,2,7.89,3,5190000
6,90.6,4,12.34,7,13430000
2,83.1,3,4.37,24,16900000
5,38.5,1,20.09,19,4250000
9,145.0,6,22.94,20,13080000
6,71.4,3,8.54,20,10530000
2,57.3,1,22.59,22,7810000
6,125.2,6,14.01,15,18740000
3,52.2,2,24.91,2,6570000
9,54.7,2,20.87,3,4090000
10,90.1,4,6.15,9,9660000
7,18.1,1,21.29,18,1590000
8,45.5,1,5.54,14,5640000
5,86.4,4,11.98,18,13830000
4,87.7,4,6.31,23,16120000
10,86.6,2,19.92,16,5850000
4,69.5,3,18.66,12,9260000
5,121.5,4,9.21,19,20620000
5,153.8,6,1.33,4,31750000
1,93.4,4,16.58,25,14910000
7,116.5,4,4.45,13,17690000
7,45.5,2,13.35,4,4810000
2,123.8,5,14.23,8,24990000
6,110.3,4,5.82,17,18290000
9,72.2,3,4.91,12,9060000
9,72.5,2,19.91,23,5210000
9,94.3,4,18.74,7,8040000
6,102.4,4,17.17,5,12250000
8,156.0,6,17.8,3,16250000
2,68.2,2,21.56,23,8960000
6,79.6,3,2.97,4,12370000
9,95.5,4,9.86,15,10580000
4,62.3,2,9.4,8,10300000
3,72.5,3,21.4,16,9960000
8,22.8,1,7.33,14,2740000
7,94.5,4,17.95,13,10630000
5,115.9,5,2.28,19,22050000
3,32.0,2,23.57,5,3880000
3,64.8,3,2.7,8,14840000
8,159.1,6,8.49,3,20400000
8,57.4,2,10.84,3,6040000
2,99.2,4,3.99,11,23610000
10,118.5,5,21.24,3,7980000
1,79.1,3,14.0,13,14470000
6,39.6,2,18.65,20,4430000
6,145.6,6,8.45,9,25800000
1,34.7,1,21.13,24,4530000
5,97.5,3,2.46,19,17390000
10,36.7,1,24.26,8,2320000
6,91.7,4,1.58,13,16260000
10,85.0,4,15.12,6,6840000
4,57.3,3,19.11,3,7130000
6,129.3,6,5.84,21,22880000
10,99.7,5,21.09,2,7230000
1,85.3,3,4.9,20,20810000
5,97.5,4,1.41,6,19860000
9,79.4,4,10.08,10,8620000
4,61.2,2,23.2,4,7240000
7,22.2,1,7.98,11,2850000
9,47.7,1,17.14,2,3530000
2,45.0,1,4.05,7,9470000
9,133.6,6,17.6,25,11800000
4,61.9,2,6.62,4,9970000
4,121.7,5,4.25,15,26000000
8,57.7,2,4.06,22,7620000
9,141.8,6,15.27,19,14170000
2,31.7,1,17.72,16,4730000
1,109.7,6,14.2,8,23010000
1,58.7,2,21.0,11,8760000
4,125.1,6,13.7,10,22320000
3,29.9,1,6.88,11,5580000
8,139.4,6,21.88,10,14500000
10,59.9,2,23.25,16,4000000
7,99.0,4,19.5,15,10570000
5,97.4,4,4.62,3,17400000
5,123.7,6,14.48,2,18280000
10,61.3,2,24.92,9,4230000
7,69.1,3,18.03,11,7130000
6,113.6,4,0.87,13,20780000
10,121.6,5,14.92,8,11210000
7,100.4,5,1.93,16,17000000
8,77.5,3,13.98,23,7320000
9,63.0,4,3.04,5,7660000
7,50.7,1,6.96,15,6590000
1,97.3,3,10.66,6,20670000
1,22.2,1,0.67,1,4780000
9,91.6,4,1.72,2,11070000
10,129.0,6,11.43,22,13120000
5,81.0,3,3.22,24,13440000
3,47.5,1,4.31,24,8780000
9,116.5,6,3.13,10,15900000
10,37.2,1,11.01,2,3060000
9,160.0,6,13.79,13,17340000
9,54.1,1,13.81,9,4660000
6,34.9,1,6.64,22,5210000
4,77.3,4,23.32,24,9930000
5,133.0,5,5.76,24,23120000
9,22.5,1,8.67,15,2360000
7,81.2,3,2.63,16,12420000
4,80.5,3,15.42,2,11400000
10,102.0,6,15.39,11,9570000
2,110.1,4,20.97,19,16270000
3,64.7,3,13.35,23,9810000
3,92.1,3,13.87,25,14540000
9,66.1,3,3.57,23,7060000
2,106.6,4,3.92,12,26760000
3,109.9,4,3.66,14,23670000
8,83.4,3,10.93,2,9120000
4,86.1,3,3.08,24,16010000
1,142.0,6,19.97,4,24680000
3,49.9,3,1.67,21,10670000
4,154.1,5,11.68,25,25940000
9,114.9,5,9.64,15,13830000
4,38.4,1,1.74,21,6910000
1,76.2,3,23.35,7,12820000
8,66.0,2,16.35,12,6630000
8,147.0,6,10.86,2,17180000
7,138.6,6,3.36,12,23360000
4,56.6,1,8.1,18,9290000
7,99.2,4,22.64,25,9710000
9,73.8,3,12.92,20,7230000
8,42.3,1,2.87,13,5250000
8,41.9,1,6.11,15,5030000
8,128.2,5,18.16,8,13590000
7,122.5,5,18.94,4,12790000
8,60.2,2,7.7,15,7500000
3,139.8,6,12.72,3,25320000
8,56.4,3,10.14,11,6440000
10,18.1,1,13.85,18,1340000
2,28.0,1,1.81,2,5880000
2,77.8,3,4.12,23,17000000
3,61.1,2,21.54,25,7210000
2,150.0,6,2.92,12,37540000
8,143.0,6,8.03,11,19670000
7,135.6,5,0.91,23,21950000
3,126.2,5,4.93,11,29270000
8,92.1,3,7.45,25,10940000
10,41.2,2,7.92,20,3650000
10,131.7,5,1.02,16,15540000
2,73.4,3,9.44,17,14130000
9,86.0,3,18.72,6,7330000
5,49.3,2,15.67,6,6290000
5,115.8,5,11.0,5,18070000
10,72.3,3,23.69,1,4280000
1,101.7,5,23.55,21,17030000
3,51.3,3,2.67,14,11650000
6,153.3,6,21.68,23,16280000
